"Name","Phone","Address"

"Des Raj & Sons Caterers","+ 91  9463242907",""
"Dream Realizers","+ 91  9915525990",""
"Mehak Dj & Light Decorations","+ 91  9914401440",""
"New Nidhiban Caterers","+ 91  9815944666",""
"The Snack Junction","+ 91  8968088862",""
"New Rajasthan Chat Bhandar","+ 91  9876812668",""
"Harman Caterers","+ 91  9815420344",""
"A One Snacks Corner","+ 91  9988940037",""
"Jai Resort","+ 91  8427798982",""
"Sakhis Watz Kukin","+ 91  183 2503959",""
"Subhash Juice Bar & Restaurant","+ 91  183 6536393",""
"Inderpuri Foods And Guest House","+ 91  183 2224513",""
"Aurah outdoor caterers","+ 91  9872993777",""
"Bon Gateau","+ 91  9646666633",""
"R K Caterer Raju Fish Wala","+ 91  9888234527",""
"Bombay Pav Bhaji Bhelpuri","+ 91  183 5051574",""
"Excellence Kundra Catering Con...","+ 91  183 2422689",""
"Pehalwan Di Hatti","+ 91  9988313426",""
"The Brothers","+ 91  9888551926",""
"O P Sharma Caterers","+ 91  9988746642",""
"Vishal tent house","+ 91  183 2526760",""
"Expert Hands An Exclusive Outd...","+ 91  1853 6576917",""
"Cut 2 Caterers","+ 91  9814667681",""
"chadda house","+ 91  9815811777",""
"Dharma Caterers","+ 91  9888716675",""
"Bubby Fish & Chicken Corner","+ 91  9814457733",""
"R K Caterers","+ 91  9478566900",""
"Maa Durga Sweet Shop","+ 91  9815624944",""
"Mathura chat","+ 91  9569033312",""
"M S Sohna Caterers","+ 91  8054620806",""
"Anand Wedding Planner & Caterers","+ 91  9988773642",""
"Three Rings Caterers","+ 91  7508440881",""
"Zannat Caterers","+ 91  183 2220483",""
"Jolly Chef Food Services","+ 91  183 5099920",""
"Standard Sweets","+ 91  183 2554953",""
"Ashwani Kumar Caterers","+ 91  9356165948",""
"Om Pakai Wala","+ 91  9988787080",""
"R V Catters","+ 91  9780057436",""
"Gee Sons Catrers & Order Suppl...","+ 91  183 2757205",""
"Sonu Halwai","+ 91  9779641158",""
"Suresh Halwai & Chat Bhander","+ 91  9815220776",""
"Rampal Singh Pardesi","+ 91  9915664530",""
